ID,Make,Model,Price,Year,Odometer,Fuel type,Engine type,Color,Body,Transmission,Drive
13351242,SEAT,Ibiza,200,1993,200000,бензин,1200,красный,хэтчбек 3 дв.,Механика,Передний
12992161,Renault,21,200,1993,200,дизель,2100,коричневый,универсал,Механика,Передний
15936744,Peugeot,405,201,1987,280000,бензин (пропан-бутан),1900,синий,седан,Механика,Передний
15554627,Lada (ВАЗ),2106,201,1979,90467,бензин,1600,коричневый,седан,Механика,Задний
15813336,Москвич,412,202,1971,468000,бензин,1500,белый,универсал,Механика,Задний
16132801,ИЖ,2126,203,2001,130000,бензин,1500,белый,хэтчбек 5 дв.,Механика,Задний
16112632,Mazda,626,203,1985,200000,бензин,1600,красный,хэтчбек 5 дв.,Механика,Передний
15725157,Lada (ВАЗ),2105,203,1989,35289,бензин,1300,белый,седан,Механика,Задний
15908429,Ford,Escort,204,1994,95417,бензин,1597,зеленый,хэтчбек 5 дв.,Механика,Передний
16095129,Volkswagen,Passat,207,1982,30000,бензин,1600,бордовый,седан,Механика,
14338752,SEAT,Cordoba,208,1994,326450,бензин,2000,белый,седан,Механика,Передний
14213411,Opel,Combo,208,1997,299709,бензин,1400,белый,легковой фургон,Механика,Передний
15549810,Renault,19,211,1993,406731,бензин,1390,серый,хэтчбек 3 дв.,Механика,Передний
15600641,Ford,Escort,212,1986,36994,бензин,1600,серебристый,хэтчбек 5 дв.,Механика,Передний
15482746,SEAT,Toledo,212,1992,359725,бензин,1595,красный,хэтчбек 5 дв.,Механика,Передний
15659415,Hyundai,Lantra,213,1995,326214,бензин,1600,серый,универсал,Механика,Передний
15552725,Mazda,626,213,1987,436246,дизель,2000,серый,хэтчбек 5 дв.,Механика,Передний
16112030,Ford,Fiesta,216,1985,475,дизель,1600,красный,хэтчбек 3 дв.,Механика,Передний
15982848,Lada (ВАЗ),2106,216,1986,78907,бензин,1300,белый,седан,Механика,Задний
16137954,Nissan,Sunny,217,1991,312000,дизель,2000,красный,седан,Механика,Передний
16130601,Renault,19,217,1989,300,бензин,1700,серый,хэтчбек 5 дв.,Механика,Передний
16112567,Volkswagen,Passat,217,1988,15000,бензин,1600,белый,универсал,Механика,Передний
16100358,Honda,Concerto,217,1995,230000,бензин,1600,синий,хэтчбек 5 дв.,Механика,Передний
15873161,Citroen,BX,217,1988,1000,бензин,1400,красный,хэтчбек 5 дв.,Механика,Передний
14787224,Lada (ВАЗ),2106,217,1990,150000,бензин,1300,белый,седан,Механика,Задний
16194038,Fiat,Bravo,220,1995,250000,бензин,1400,красный,хэтчбек 3 дв.,Механика,Передний
16155989,Lada (ВАЗ),2103,220,1978,100000,бензин,1300,черный,седан,Механика,
16154103,Lada (ВАЗ),2101,220,1980,1,бензин,1300,зеленый,седан,Механика,Задний
15651318,Renault,19,220,1992,228435,бензин,1721,бордовый,седан,Механика,Передний
14606156,Volvo,300 series,220,1989,448000,дизель,1595,серый,седан,Механика,Задний
14216157,Москвич,403,220,1964,80000,бензин,1360,другой,седан,Механика,Задний
16193717,Ford,Sierra,222,1987,299999,дизель,2300,белый,седан,Механика,Задний
16181927,Volkswagen,Polo,222,1991,20000,бензин,1300,бордовый,хэтчбек 3 дв.,Механика,Передний
16053875,Volkswagen,Passat,222,1984,300,бензин,1600,красный,универсал,Механика,Передний
15863286,Lada (ВАЗ),2106,222,1987,55465,бензин,1290,зеленый,седан,Механика,Задний
16156664,Opel,Kadett,225,1986,275000,бензин,1300,серый,седан,Механика,Передний
16055353,Mazda,323,225,1988,399999,бензин (гибрид),1300,красный,хэтчбек 5 дв.,Механика,Задний
14546720,Renault,19,225,1992,437209,бензин,1721,серебристый,хэтчбек 5 дв.,Механика,Передний
14285541,Audi,100,226,1984,381178,бензин,1760,другой,седан,Механика,Передний
15892461,Lada (ВАЗ),2105,229,1988,35131,бензин,1300,желтый,седан,Механика,Задний
15603015,Lada (ВАЗ),2106,229,1988,8685,бензин,1500,зеленый,седан,Механика,Задний
16025842,Fiat,Tipo,231,1992,125000,бензин,1400,зеленый,хэтчбек 5 дв.,Механика,
15973682,Lada (ВАЗ),2108,234,1987,108087,бензин,1300,красный,хэтчбек 3 дв.,Механика,Передний
16081074,Lada (ВАЗ),2102,240,1984,111111,бензин,1300,другой,хэтчбек 5 дв.,Механика,Передний
16193510,Mazda,626,241,1987,291416,бензин (пропан-бутан),2000,синий,седан,Механика,Передний
16193433,ГАЗ,24,241,1979,50000,бензин,2400,черный,седан,Механика,Задний
16187765,Fiat,Punto,241,1998,209565,бензин,1108,синий,хэтчбек 3 дв.,Механика,Передний
16186378,Peugeot,405,241,1990,98765,бензин,1900,серебристый,седан,Механика,Передний
16185972,Renault,19,241,1992,350000,бензин (пропан-бутан),1700,зеленый,седан,Механика,Передний
16171039,Ford,Escort,241,1994,326000,бензин,1600,бордовый,универсал,Механика,Передний
16168957,Kia,Sephia,241,1996,280000,бензин,1600,бордовый,седан,Механика,Передний
16168493,Nissan,Primera,241,1995,320,бензин,2000,зеленый,универсал,Механика,Передний
16166741,Alfa Romeo,146,241,1995,50000,дизель,1900,оранжевый,хэтчбек 5 дв.,Механика,Передний
16166597,Hyundai,Lantra,241,1993,200000,бензин (пропан-бутан),1600,бордовый,седан,Механика,
16153679,Mazda,626,241,1986,400000,дизель,2000,черный,хэтчбек 5 дв.,Механика,Передний
16136956,Fiat,Tipo,241,1990,333333,бензин,1600,синий,хэтчбек 5 дв.,Механика,Передний
16132541,Opel,Kadett,241,1985,3500000,бензин (гибрид),1300,красный,хэтчбек 5 дв.,Механика,Передний
